item_name,is_expense,quantity,sum_of_one
Воздушные шарики,false,5000,5
Автоматы с мороженным,true,12,15000
Продажа мороженного,false,1000,120
Автоматы с батончиками,true,10,12000
Продажа батончиков,false,1700,7
Автоматы с газировкой,true,60,13500
Продажа газировки,false,780,6
Прилавок с конфетами,true,7,18500
Продажа конфет,false,115000,2
Продажа плюшевых игрушек,false,370,250
Продажа мыльных пузерей,false,320,20
Аппарат с сахарной ватой,true,10,17600
Продажа сахарной ваты,false,550,7
Продажа чипсов,false,1100,5
Продажа арахиса,false,460,4
Продажа печенья,false,300,3
Прилавок с сувенирами,true,4,21000
Продажа сувениров,false,4500,140
Продажа подарочных карт,false,630,100
